image,label,nanophase_iron_darkening_anomaly,agglutinate_glass_anomaly,reflectance_anomaly_score,mean_grain_size_microns
images/regolith_train_00000.jpg,3,-0.324657,0.136361,-0.012199,152.24
images/regolith_train_00001.jpg,1,-0.052644,0.235442,-0.218151,637.66
images/regolith_train_00002.jpg,3,-0.406954,-0.269345,-0.325866,343.25
images/regolith_train_00003.jpg,1,0.404665,0.122217,-0.294263,524.34
images/regolith_train_00004.jpg,1,-0.092796,0.092094,0.018761,523.97
images/regolith_train_00005.jpg,1,-0.014809,0.167492,0.068714,499.63
images/regolith_train_00006.jpg,2,0.136496,0.389643,-0.361074,353.3
images/regolith_train_00007.jpg,2,-0.044164,-0.200215,-0.16995,345.99
images/regolith_train_00008.jpg,2,0.559611,-0.369881,-0.766672,380.89
images/regolith_train_00009.jpg,1,-0.405906,-0.008361,0.326924,590.53
images/regolith_train_00010.jpg,1,-0.475147,-0.118002,0.600889,446.91
images/regolith_train_00011.jpg,0,-0.064571,-0.227445,0.564765,562.61
images/regolith_train_00012.jpg,2,-0.301241,-0.043353,0.260893,277.93
images/regolith_train_00013.jpg,0,0.369838,0.074949,-0.145801,733.28
images/regolith_train_00014.jpg,0,0.331286,-0.179503,-0.23638,701.34
images/regolith_train_00015.jpg,3,0.251603,-0.096051,-0.685897,195.62
images/regolith_train_00016.jpg,2,0.418313,-0.200198,-0.706157,329.1
images/regolith_train_00017.jpg,2,0.082275,0.310189,-0.339108,346.42
images/regolith_train_00018.jpg,1,-0.16019,-0.192581,0.176348,499.07
images/regolith_train_00019.jpg,2,-0.016253,0.362391,-0.157908,371.22
images/regolith_train_00020.jpg,2,-0.245626,-0.121691,-0.13244,428.57
images/regolith_train_00021.jpg,0,0.272021,0.049493,0.143551,644.98
images/regolith_train_00022.jpg,1,-0.346068,0.420325,0.282109,500.44
images/regolith_train_00023.jpg,3,0.033735,0.053697,-0.611209,256.39
images/regolith_train_00024.jpg,2,-0.302786,-0.344425,0.002926,369.63
images/regolith_train_00025.jpg,3,-0.147207,0.164919,-0.412219,222.63
images/regolith_train_00026.jpg,0,0.331062,0.163029,-0.05628,667.05
images/regolith_train_00027.jpg,3,0.161975,0.257166,-0.867457,352.19
images/regolith_train_00028.jpg,2,-0.118885,0.468073,-0.233345,402.98
images/regolith_train_00029.jpg,1,-0.013617,0.2585,0.075951,435.18
images/regolith_train_00030.jpg,1,-0.301462,-0.234696,0.410268,445.38
images/regolith_train_00031.jpg,0,0.079422,-0.134319,0.187725,668.71
images/regolith_train_00032.jpg,0,-0.053739,0.393533,0.199115,692.11
images/regolith_train_00033.jpg,0,0.475833,-0.001262,-0.238895,669.35
images/regolith_train_00034.jpg,0,0.38866,-0.089147,-0.210514,754.44
images/regolith_train_00035.jpg,0,0.364357,-0.028382,0.055554,588.37
images/regolith_train_00036.jpg,3,0.125314,0.111186,-0.51407,162.56
images/regolith_train_00037.jpg,2,-0.339804,0.552298,-0.001968,336.12
images/regolith_train_00038.jpg,1,-0.175373,-0.045766,-0.053557,542.04
images/regolith_train_00039.jpg,3,-0.264398,-0.05408,-0.110562,171.85
images/regolith_train_00040.jpg,3,0.185429,0.283992,-0.670694,177.83
images/regolith_train_00041.jpg,1,-0.231414,-0.269951,-0.073325,644.79
images/regolith_train_00042.jpg,3,0.108205,-0.284057,-0.528293,114.3
images/regolith_train_00043.jpg,2,0.27516,0.404904,-0.408849,300.27
images/regolith_train_00044.jpg,1,-0.471197,-0.341474,0.459984,532.62
images/regolith_train_00045.jpg,3,-0.267674,0.173303,-0.210454,201.16
images/regolith_train_00046.jpg,2,0.258542,-0.319261,-0.363896,297.12
images/regolith_train_00047.jpg,0,0.115071,0.180703,0.219903,628.85
images/regolith_train_00048.jpg,2,0.209448,-0.058159,-0.573925,436.07
images/regolith_train_00049.jpg,2,0.37472,-0.031984,-0.540081,322.93
images/regolith_train_00050.jpg,0,0.371764,-0.067272,0.10136,568.76
images/regolith_train_00051.jpg,3,0.089289,-0.123413,-0.658104,258.45
images/regolith_train_00052.jpg,1,0.416598,0.553718,-0.615634,600.78
images/regolith_train_00053.jpg,3,-0.158921,0.117077,-0.377318,281.93
images/regolith_train_00054.jpg,0,0.156737,-0.169518,-0.105264,694.08
images/regolith_train_00055.jpg,1,-0.091147,-0.294261,0.093439,484.71
images/regolith_train_00056.jpg,2,0.134233,-0.1234,-0.490576,449.67
images/regolith_train_00057.jpg,3,0.006531,0.007586,-0.439528,203.2
images/regolith_train_00058.jpg,2,0.254399,0.342394,-0.615351,403.29
images/regolith_train_00059.jpg,3,-0.37288,0.135087,-0.278905,313.03
images/regolith_train_00060.jpg,2,-0.303774,-0.452739,-0.152306,468.62
images/regolith_train_00061.jpg,3,-0.151413,0.184534,-0.189452,196.11
images/regolith_train_00062.jpg,3,0.241319,-0.210216,-0.817061,219.56
images/regolith_train_00063.jpg,1,0.304995,0.325272,-0.281604,528.59
images/regolith_train_00064.jpg,2,-0.367086,-0.218022,0.017899,396.89
images/regolith_train_00065.jpg,2,-0.405565,0.362322,0.227169,317.05
images/regolith_train_00066.jpg,1,-0.288396,-0.252036,0.167071,523.49
images/regolith_train_00067.jpg,2,-0.012748,0.352004,-0.259019,434.04
images/regolith_train_00068.jpg,0,0.276788,0.33845,-0.090319,676.75
images/regolith_train_00069.jpg,0,-0.138298,0.311596,0.300144,699.29
images/regolith_train_00070.jpg,0,-0.005882,-0.206644,0.199095,662.55
images/regolith_train_00071.jpg,1,-0.253421,-0.012789,0.226275,538.87
images/regolith_train_00072.jpg,1,-0.494772,-0.287803,0.427125,596.33
images/regolith_train_00073.jpg,1,-0.01743,-0.15799,0.234783,392.33
images/regolith_train_00074.jpg,1,-0.345755,0.101149,0.202191,554.28
images/regolith_train_00075.jpg,0,0.087642,-0.197624,0.128258,590.63
images/regolith_train_00076.jpg,3,0.002339,0.281872,-0.455786,140.66
images/regolith_train_00077.jpg,0,-0.026957,0.194493,0.321083,706.12
images/regolith_train_00078.jpg,0,-0.209588,0.10638,0.404763,678.87
images/regolith_train_00079.jpg,1,-0.174778,0.250704,0.391322,391.82
images/regolith_train_00080.jpg,2,0.160183,0.129207,-0.573766,324.48
images/regolith_train_00081.jpg,3,0.43289,0.381997,-0.941485,221.28
images/regolith_train_00082.jpg,2,0.090518,0.406064,-0.295096,307.3
images/regolith_train_00083.jpg,0,0.406867,0.016314,-0.138647,663.4
images/regolith_train_00084.jpg,1,0.630504,-0.25904,-0.539114,589.15
images/regolith_train_00085.jpg,3,-0.137457,0.31039,-0.657365,319.86
images/regolith_train_00086.jpg,3,0.067497,0.110265,-0.481163,174.73
images/regolith_train_00087.jpg,0,-0.011515,0.048659,0.191405,655.15
images/regolith_train_00088.jpg,1,0.164045,-0.193802,-0.228295,450.73
images/regolith_train_00089.jpg,1,0.318341,-0.14643,-0.414968,567.12
images/regolith_train_00090.jpg,1,0.39428,-0.463546,-0.447619,607.74
images/regolith_train_00091.jpg,1,-0.019789,0.144885,-0.046867,586.98
images/regolith_train_00092.jpg,1,-0.331767,-0.434683,0.357122,488.76
images/regolith_train_00093.jpg,3,0.376559,0.211331,-0.810985,286.93
images/regolith_train_00094.jpg,0,-0.077961,0.092843,0.249864,702.87
images/regolith_train_00095.jpg,3,-0.088573,0.142554,-0.548115,321.13
images/regolith_train_00096.jpg,3,0.01062,0.265271,-0.814786,306.83
images/regolith_train_00097.jpg,3,0.22399,0.114898,-0.568867,138.1
images/regolith_train_00098.jpg,0,0.412056,0.269226,-0.21704,670.62
images/regolith_train_00099.jpg,1,0.148334,-0.194497,-0.093655,467.82
images/regolith_train_00100.jpg,1,0.367634,-0.041842,-0.294399,497.32
images/regolith_train_00101.jpg,3,-0.307136,-0.343828,-0.253033,250.3
images/regolith_train_00102.jpg,2,0.154569,0.235338,-0.305438,408.72
images/regolith_train_00103.jpg,3,0.249664,0.221699,-0.577156,135.88
images/regolith_train_00104.jpg,0,0.190013,0.471922,-0.032313,713.14
images/regolith_train_00105.jpg,2,0.243895,-0.39127,-0.521406,364.21
images/regolith_train_00106.jpg,3,0.201013,0.150576,-0.993151,327.87
images/regolith_train_00107.jpg,0,0.199801,-0.041735,0.235443,520.43
images/regolith_train_00108.jpg,2,-0.105178,0.036915,-0.187433,326.65
images/regolith_train_00109.jpg,2,-0.115588,0.079397,-0.149861,438.47
images/regolith_train_00110.jpg,0,0.209459,0.255541,-0.18771,696.82
images/regolith_train_00111.jpg,3,-0.05747,0.208411,-0.609026,321.46
images/regolith_train_00112.jpg,1,-0.247131,0.377257,0.247152,512.03
images/regolith_train_00113.jpg,2,0.345084,-0.275889,-0.88454,527.6
images/regolith_train_00114.jpg,3,0.019938,0.044833,-0.575403,168.95
images/regolith_train_00115.jpg,0,0.49416,-0.075304,-0.318863,676.26
images/regolith_train_00116.jpg,0,0.061522,0.367566,0.180264,592.12
images/regolith_train_00117.jpg,1,0.512301,0.447184,-0.550297,618.97
images/regolith_train_00118.jpg,2,0.519667,-0.233374,-0.630816,272.04
images/regolith_train_00119.jpg,1,0.475606,-0.003075,-0.359093,478.59
images/regolith_train_00120.jpg,3,-0.27663,0.222077,-0.259753,251.54
images/regolith_train_00121.jpg,0,0.123662,-0.014916,0.236204,643.35
images/regolith_train_00122.jpg,2,-0.112951,0.198539,-0.189505,273.3
images/regolith_train_00123.jpg,1,-0.057556,0.212225,0.030324,491.03
images/regolith_train_00124.jpg,0,-0.033054,-0.25079,0.531476,511.38
images/regolith_train_00125.jpg,1,-0.433094,0.38387,0.356821,561.23
images/regolith_train_00126.jpg,0,-0.122817,-0.167694,0.118619,791.25
images/regolith_train_00127.jpg,0,-0.229953,-0.251689,0.309828,694.35
images/regolith_train_00128.jpg,3,-0.111583,0.138309,-0.403852,193.68
images/regolith_train_00129.jpg,0,-0.221776,-0.129453,0.528292,623.87
images/regolith_train_00130.jpg,3,-0.015491,-0.19754,-0.521781,263.73
images/regolith_train_00131.jpg,2,0.020831,0.454105,-0.29878,404.55
images/regolith_train_00132.jpg,0,0.329807,0.121903,0.036242,610.11
images/regolith_train_00133.jpg,1,-0.24796,0.183454,0.207992,592.84
images/regolith_train_00134.jpg,1,0.245941,0.471559,-0.272341,514.42
images/regolith_train_00135.jpg,1,-0.00529,-0.208188,-0.213421,633.84
images/regolith_train_00136.jpg,2,0.051145,0.326128,-0.114821,265.05
images/regolith_train_00137.jpg,1,-0.426746,-0.317467,0.147994,640.45
images/regolith_train_00138.jpg,0,-0.028715,0.150898,0.040787,741.16
images/regolith_train_00139.jpg,1,0.51623,0.397987,-0.33492,463.5
images/regolith_train_00140.jpg,1,-0.523557,-0.165333,0.287569,641.12
images/regolith_train_00141.jpg,1,0.144689,0.318565,-0.165379,552.58
images/regolith_train_00142.jpg,2,-0.149089,0.238877,-0.13115,309.12
images/regolith_train_00143.jpg,2,-0.393556,0.192691,0.288918,357.83
images/regolith_train_00144.jpg,2,0.14008,-0.485776,-0.494017,375.76
images/regolith_train_00145.jpg,1,0.422127,0.489068,-0.523521,581.13
images/regolith_train_00146.jpg,2,0.42709,-0.120139,-0.511148,208.97
images/regolith_train_00147.jpg,0,-0.317962,0.383786,0.407646,653.86
images/regolith_train_00148.jpg,0,0.219754,0.007668,-0.060385,643.2
images/regolith_train_00149.jpg,1,-0.065318,-0.367852,0.204807,367.98
images/regolith_train_00150.jpg,3,0.358937,-0.033883,-0.946185,202.85
images/regolith_train_00151.jpg,0,-0.115124,-0.171964,0.590669,535.22
images/regolith_train_00152.jpg,3,0.394633,-0.020822,-0.87995,207.15
images/regolith_train_00153.jpg,1,0.255593,0.520424,-0.504061,686.4
images/regolith_train_00154.jpg,3,0.329777,-0.230251,-0.866296,300.9
images/regolith_train_00155.jpg,2,-0.180981,0.401015,-0.079359,408.16
images/regolith_train_00156.jpg,2,0.570584,0.294129,-0.623385,258.55
images/regolith_train_00157.jpg,0,-0.24456,0.05196,0.216634,747.1
images/regolith_train_00158.jpg,1,-0.217145,0.39294,0.26843,451.42
images/regolith_train_00159.jpg,1,0.191483,0.220029,-0.331986,614.83
images/regolith_train_00160.jpg,0,0.434214,0.081618,-0.383958,756.44
images/regolith_train_00161.jpg,2,-0.233425,-0.022445,0.065828,217.1
images/regolith_train_00162.jpg,2,-0.12284,-0.377686,-0.135846,378.42
images/regolith_train_00163.jpg,0,0.16502,-0.014827,0.081258,642.89
images/regolith_train_00164.jpg,0,0.325795,-0.169421,-0.365114,770.71
images/regolith_train_00165.jpg,0,-0.052946,0.58015,0.462945,624.25
images/regolith_train_00166.jpg,2,-0.390791,0.249569,0.038197,427.63
images/regolith_train_00167.jpg,0,0.161937,0.036091,0.122344,636.74
images/regolith_train_00168.jpg,3,-0.273282,-0.06562,-0.241323,270.93
images/regolith_train_00169.jpg,2,-0.409412,-0.311422,0.269768,246.28
images/regolith_train_00170.jpg,0,-0.261793,0.169392,0.482539,637.6
images/regolith_train_00171.jpg,2,0.169735,-0.126517,-0.329898,381.28
images/regolith_train_00172.jpg,0,-0.146174,0.080262,0.29677,700.87
images/regolith_train_00173.jpg,2,-0.11712,-0.073295,0.053765,254.55
images/regolith_train_00174.jpg,0,-0.066321,0.096095,0.198791,747.81
images/regolith_train_00175.jpg,0,0.18295,0.124735,-0.14029,643.18
images/regolith_train_00176.jpg,0,0.08122,0.258686,0.219491,702.02
images/regolith_train_00177.jpg,1,-0.478578,0.271999,0.493265,560.56
images/regolith_train_00178.jpg,3,0.021754,0.361267,-0.421088,237.18
images/regolith_train_00179.jpg,0,0.32111,-0.286222,-0.213729,759.75
images/regolith_train_00180.jpg,3,0.131036,-0.16775,-0.585013,181.44
images/regolith_train_00181.jpg,3,-0.110115,0.11492,-0.462311,229.82
images/regolith_train_00182.jpg,1,0.356086,-0.335358,-0.434617,529.67
images/regolith_train_00183.jpg,2,-0.088791,0.16589,-0.159405,333.81
images/regolith_train_00184.jpg,1,0.330407,-0.003827,-0.316132,526.63
images/regolith_train_00185.jpg,3,0.183601,-0.049651,-0.795288,217.18
images/regolith_train_00186.jpg,3,0.376569,-0.356799,-0.905317,238.27
images/regolith_train_00187.jpg,2,-0.367529,0.514027,-0.12106,509.66
images/regolith_train_00188.jpg,2,-0.47302,0.26935,0.254821,330.8
images/regolith_train_00189.jpg,0,0.373197,0.040496,-0.093442,657.88
images/regolith_train_00190.jpg,0,0.200588,-0.057425,-0.07235,642.16
images/regolith_train_00191.jpg,0,0.25803,0.083477,-0.175183,739.54
images/regolith_train_00192.jpg,2,-0.415282,0.11645,0.043576,442.65
images/regolith_train_00193.jpg,0,-0.070012,-0.083145,0.171242,636.47
images/regolith_train_00194.jpg,2,0.16358,-0.162456,-0.592292,474.02
images/regolith_train_00195.jpg,1,-0.357858,-0.025991,0.306722,479.79
images/regolith_train_00196.jpg,3,-0.032458,0.228247,-0.486586,278.76
images/regolith_train_00197.jpg,3,0.289656,-0.134505,-0.8452,216.56
images/regolith_train_00198.jpg,3,-0.266449,-0.026952,-0.154115,113.34
images/regolith_train_00199.jpg,2,-0.351694,0.4485,0.222644,344.59
